"","DESIGN","Average.Price","V1"
"1","HY0042",44.86,35
"2","HY0217",29.91,3
"3","HY0340",29.91,1
"4","HY0381",33.64,122
"5","HY0402",33.64,67
"6","HY0451",28.66,3
"7","HY0451",27.88,12
"8","HY0451",27.1,37
"9","HY0470",27.1,3
"10","HY0483",31.78,1
"11","HY0495",33.64,99
"12","HY0506",25.23,4
"13","HY0517",33.64,116
"14","HY0527",22.43,1
"15","HY0640",31.78,2
"16","HY0648",29.91,2
"17","HY0693",27.1,2
"18","HY0705",22.43,4
"19","HY0811",33.64,1
"20","HY0836",29.91,1
"21","HY0865",64.49,1
"22","HY0920",31.78,2
"23","HY0933",31.78,1
"24","HY0943",33.64,57
"25","HY0953",27.1,12
"26","HY0957",35.51,236
"27","HY0965",31.78,9
"28","HY0983",31.78,1
"29","HY0986",33.64,15
"30","HY0989",33.64,7
"31","HY1002",36.45,5
"32","HY1002",39.25,2
"33","HY1002",42.06,5
"34","HY1005",35.51,8
"35","HY1024",33.64,10
"36","HY1030",36.45,188
"37","HY1033",31.78,2
"38","HY1034",28.97,3
"39","HY1034",31.31,6
"40","HY1034",33.64,9
"41","HY1034",31.78,5
"42","HY1054",33.64,69
"43","HY1057",36.45,4
"44","HY1065",35.51,1
"45","HY1067",39.25,33
"46","HY1069",33.64,4
"47","HY1070",42.06,6
"48","HY1071",33.64,2
"49","HY1072",31.78,147
"50","HY1073",39.25,7
"51","HY1074",31.78,1
"52","HY1077",31.78,10
"53","HY1079",45.79,146
"54","HY1085",48.6,5
"55","HY1086",45.79,3
"56","HY1088",31.78,1
"57","HY1089",28.97,6
"58","HY1089",32.09,6
"59","HY1089",30.53,6
"60","HY1093",48.6,2
"61","HY1094",31.78,1
"62","HY1095",31.78,24
"63","HY1099",28.97,12
"64","HY1099",31.31,4
"65","HY1101",42.06,3
"66","HY1104",36.45,141
"67","HY1107",31.78,6
"68","HY1108",31.78,9
"69","HY1109",33.64,7
"70","HY1110",39.25,2
"71","HY1112",64.49,32
"72","HY1113",39.25,56
"73","HY1118",35.51,6
"74","HY1120",33.64,9
"75","HY1127",39.25,6
"76","HY1132",33.64,2
"77","HY1133",33.64,2
"78","HY1138",42.06,1
"79","HY1139",42.06,4
"80","HY1140",29.91,13
"81","HY1141",35.51,1
"82","HY1143",33.64,2
"83","HY1154",39.25,1
"84","HY1160",33.64,3
"85","HY1163",31.78,5
"86","HY1165",33.64,7
"87","HY1166",27.1,35
"88","HY1171",33.64,1
"89","HY1175",33.64,4
"90","HY1179",33.64,2
"91","HY1184",33.64,3
"92","HY1186",35.51,7
"93","HY1189",31.78,9
"94","HY1194",37.38,90
"95","HY1195",39.25,71
"96","HY1199",48.6,114
"97","HY1207",45.79,11
"98","HY1209",42.06,3
"99","HY1216",35.51,1
"100","HY1220",31.78,13
"101","HY1221",31.78,2
"102","HY1222",39.25,2
"103","HY1229",45.79,9
"104","HY1230",64.49,1
"105","HY1232",73.83,2
"106","HY1235",42.06,1
"107","HY1236",44.86,41
"108","HY1238",31.78,12
"109","HY1239",36.45,6
"110","HY1242",31.78,20
"111","HY1259",33.64,30
"112","HY1263",35.51,91
"113","HY1267",35.51,257
"114","HY1269",35.51,310
"115","HY1274",33.64,22
"116","HY1277",42.06,172
"117","HY1309",33.64,833
"118","HY1310",33.64,794
"119","HY1312",35.51,295
"120","HY1316",31.78,121
"121","HY1325",33.64,498
