"","DESIGN","Average.Price","V1"
"1","HY0042",44.86,40
"2","HY0151",36.45,5
"3","HY0152",29.91,2
"4","HY0217",29.91,13
"5","HY0340",29.91,3
"6","HY0381",33.64,108
"7","HY0402",33.64,73
"8","HY0402",31.78,2
"9","HY0406",21.5,6
"10","HY0406",20.56,2
"11","HY0406",21.23,7
"12","HY0415",31.78,1
"13","HY0424",22.43,5
"14","HY0451",31.78,21
"15","HY0470",27.1,3
"16","HY0470",27.88,6
"17","HY0483",31.78,7
"18","HY0495",33.64,175
"19","HY0495",32.4,3
"20","HY0506",29.91,1
"21","HY0517",33.64,128
"22","HY0527",22.43,7
"23","HY0640",31.78,25
"24","HY0648",29.91,1
"25","HY0694",22.43,1
"26","HY0701",25.23,1
"27","HY0705",22.43,3
"28","HY0716",22.43,2
"29","HY0741",22.43,3
"30","HY0748",28.04,1
"31","HY0751",31.78,2
"32","HY0792",31.78,2
"33","HY0818",25.23,1
"34","HY0818",23.36,1
"35","HY0836",29.91,2
"36","HY0865",64.49,100
"37","HY0871",31.78,3
"38","HY0894",39.25,6
"39","HY0918",33.64,2
"40","HY0920",31.78,4
"41","HY0931",31.78,4
"42","HY0933",31.78,10
"43","HY0943",33.64,132
"44","HY0951",35.51,4
"45","HY0953",27.1,3
"46","HY0953",31.78,1
"47","HY0954",31.78,4
"48","HY0965",31.78,7
"49","HY0972",36.45,7
"50","HY0980",33.64,3
"51","HY0983",31.78,1
"52","HY0984",35.51,276
"53","HY0986",33.64,108
"54","HY0989",33.64,3
"55","HY1002",42.06,5
"56","HY1005",35.51,110
"57","HY1017",33.64,1
"58","HY1024",33.64,294
"59","HY1033",31.78,4
"60","HY1034",33.64,17
"61","HY1047",42.06,1
"62","HY1057",36.45,12
"63","HY1065",35.51,3
"64","HY1067",39.25,203
"65","HY1069",33.64,5
"66","HY1070",42.06,10
"67","HY1071",33.64,9
"68","HY1073",39.25,9
"69","HY1074",31.78,9
"70","HY1077",31.78,5
"71","HY1085",48.6,21
"72","HY1086",45.79,4
"73","HY1088",31.78,5
"74","HY1089",33.64,9
"75","HY1093",48.6,6
"76","HY1094",31.78,5
"77","HY1095",31.78,187
"78","HY1099",33.64,9
"79","HY1101",42.06,21
"80","HY1107",31.78,17
"81","HY1108",31.78,20
"82","HY1109",33.64,11
"83","HY1110",39.25,16
"84","HY1112",64.49,42
"85","HY1113",39.25,18
"86","HY1116",36.45,2
"87","HY1118",35.51,22
"88","HY1120",33.64,23
"89","HY1127",39.25,12
"90","HY1132",33.64,8
"91","HY1133",33.64,7
"92","HY1137",39.25,183
"93","HY1138",42.06,3
"94","HY1139",42.06,7
"95","HY1140",29.91,23
"96","HY1141",35.51,12
"97","HY1143",33.64,10
"98","HY1146",31.78,1
"99","HY1154",39.25,1
"100","HY1159",31.78,4
"101","HY1160",33.64,14
"102","HY1161",31.78,1
"103","HY1163",31.78,25
"104","HY1165",33.64,22
"105","HY1166",27.1,85
"106","HY1171",33.64,8
"107","HY1175",33.64,653
"108","HY1179",33.64,8
"109","HY1182",45.79,6
"110","HY1183",31.78,4
"111","HY1184",33.64,25
"112","HY1186",35.51,166
"113","HY1187",33.64,239
"114","HY1188",33.64,11
"115","HY1189",31.78,11
"116","HY1199",48.6,242
"117","HY1201",31.78,1
"118","HY1206",33.64,1
"119","HY1207",45.79,55
"120","HY1209",42.06,9
"121","HY1216",35.51,4
"122","HY1220",31.78,8
"123","HY1221",31.78,9
"124","HY1222",39.25,9
"125","HY1226",33.64,3
"126","HY1229",45.79,4
"127","HY1230",64.49,1
"128","HY1232",73.83,2
"129","HY1235",42.06,26
"130","HY1236",44.86,60
"131","HY1238",31.78,110
"132","HY1239",36.45,24
"133","HY1242",31.78,150
"134","HY1259",33.64,258
"135","HY1274",33.64,969
"136","HY1277",42.06,223
