"","X","DESIGN","Average.Price","V1","DesignCode"
"1",1,"HY0042",44.86,28,"DCV"
"2",2,"HY0381",33.64,31,"DTB"
"3",3,"HY0402",33.64,14,"DTG"
"4",4,"HY0451",27.1,12,"DPE"
"5",5,"HY0495",33.64,26,"DTB"
"6",6,"HY0506",25.23,3,NA
"7",7,"HY0517",33.64,21,"DSK"
"8",8,"HY0943",33.64,16,"DSK"
"9",9,"HY0953",27.1,4,"DPE"
"10",10,"HY0957",35.51,57,"DPE"
"11",11,"HY0965",31.78,12,"DTB"
"12",12,"HY0986",33.64,4,NA
"13",13,"HY0989",33.64,1,NA
"14",14,"HY1002",36.45,3,"MAX"
"15",15,"HY1004",33.64,58,"DPE"
"16",16,"HY1005",35.51,5,NA
"17",17,"HY1024",33.64,4,NA
"18",18,"HY1030",36.45,2,NA
"19",19,"HY1034",28.97,29,"DST"
"20",20,"HY1039",34,60,"DST"
"21",21,"HY1047",42.06,2,NA
"22",22,"HY1054",33.64,5,"DSK"
"23",23,"HY1067",39.25,8,"DSK"
"24",24,"HY1071",33.64,6,"DSH"
"25",25,"HY1072",31.78,14,"DPE"
"26",26,"HY1074",31.78,1,"DSK"
"27",27,"HY1077",31.78,4,"DSK"
"28",28,"HY1079",45.79,23,"MSL"
"29",29,"HY1086",45.79,1,"DSK"
"30",30,"HY1089",28.97,6,"DSK"
"31",31,"HY1095",31.78,13,"DSL"
"32",32,"HY1096",33.64,126,"DSK"
"33",33,"HY1099",28.97,6,"DPE"
"34",34,"HY1101",42.06,2,NA
"35",35,"HY1109",33.64,5,"DPE"
"36",36,"HY1112",64.49,6,"DTG"
"37",37,"HY1113",39.25,8,"DTB"
"38",38,"HY1119",33.64,91,"DPE"
"39",39,"HY1120",33.64,4,"DSK"
"40",40,"HY1124",44.86,1,NA
"41",41,"HY1137",39.25,1,NA
"42",42,"HY1138",42.06,3,"DTB"
"43",43,"HY1139",42.06,2,NA
"44",44,"HY1141",35.51,97,"DPE"
"45",45,"HY1143",33.64,1,NA
"46",46,"HY1166",27.1,41,"MSL"
"47",47,"HY1171",33.64,2,NA
"48",48,"HY1178",33.64,64,"DPE"
"49",49,"HY1179",33.64,3,"DPE"
"50",50,"HY1186",35.51,2,NA
"51",51,"HY1194",37.38,20,NA
"52",52,"HY1195",39.25,23,"DSK"
"53",53,"HY1199",48.6,32,"DSK"
"54",54,"HY1207",45.79,17,"DPE"
"55",55,"HY1209",42.06,9,"DSK"
"56",56,"HY1211",33.64,141,"DSK"
"57",57,"HY1229",45.79,1,"DSK"
"58",58,"HY1230",64.49,2,"DSK"
"59",59,"HY1232",73.83,1,"DSK"
"60",60,"HY1236",44.86,11,"DTB"
"61",61,"HY1238",31.78,16,"DTB"
"62",62,"HY1239",36.45,6,"MLS"
"63",63,"HY1242",31.78,4,"DST"
"64",64,"HY1246",33.64,253,"DSK"
"65",65,"HY1259",33.64,1,NA
"66",66,"HY1262",42.06,148,"DST"
"67",67,"HY1263",35.51,16,"DPE"
"68",68,"HY1267",35.51,15,"DSK"
"69",69,"HY1276",33.64,86,"DPE"
"70",70,"HY1277",42.06,52,"DSK"
"71",71,"HY1311",33.64,332,"DSK"
"72",72,"HY1312",35.51,42,"DSK"
"73",73,"HY1314",33.64,543,"DSK"
"74",74,"HY1316",31.78,5,NA
"75",75,"HY1325",33.64,66,"DSK"
"76",76,"HY1326",33.64,328,"DSK"
"77",77,"HY1335",33.64,158,"DPE"
"78",78,"HY1337",33.64,143,"DST"
"79",79,"HY1339",31.78,86,"DPE"
"80",80,"HY1345",33.64,232,"MAX"
"81",81,"HY1348",35.51,159,"DST"
"82",82,"HY1349",35.51,503,"DSK"
"83",83,"HY1364",33.64,375,"DST"
"84",84,"HY1366",31.78,190,"MSL"
"85",85,"HY1368",33.64,192,"DSH"
"86",86,"HY1381",33.64,107,"DSK"
"87",87,"HY1382",33.64,250,"DSK"
"88",88,"HY1383",31.78,175,"MSL"
"89",89,"HY1385",35.51,159,"DSK"
"90",90,"HY1392",35.51,122,"DST"
"91",91,"HY1395",35.51,38,"DTG"
"92",92,"HY1405",35.51,255,"DPE"
