"","DESIGN","Average.Price","V1"
"228","HY1463",42.06,2
"229","HY1464",28.04,10
"230","HY1468",36.45,11
"231","HY1469",33.64,31
"232","HY1471",35.51,14
"233","HY1472",33.64,6
"234","HY1473",39.25,11
"235","HY1476",31.78,18
"236","HY1477",33.64,2
"237","HY1478",33.64,40
"238","HY1480",45.79,7
"239","HY1481",28.04,51
"240","HY1482",28.04,6
"241","HY1484",33.64,3
"242","HY1485",22.43,9
"243","HY1486",16.82,2
"244","HY1489",29.91,7
"245","HY1490",29.91,1
"246","HY1491",28.04,13
"247","HY1492",29.91,26
"248","HY1493",31.78,17
"249","HY1494",33.64,2
"250","HY1496",33.64,4
"251","HY1497",31.78,23
"252","HY1498",33.64,1
"253","HY1499",27.1,507
"254","HY1500",31.78,27
"255","HY1501",31.78,1
"256","HY1504",36.45,10
"257","HY1505",31.78,1
"258","HY1506",23.36,2
"259","HY1507",27.1,28
"260","HY1508",33.64,1
"261","HY1509",27.1,42
"262","HY1511",33.64,14
"263","HY1512",27.1,5
"264","HY1513",33.64,1
"265","HY1514",33.64,81
"266","HY1515",29.91,14
"267","HY1516",31.78,55
"268","HY1517",33.64,10
"269","HY1518",42.06,4
"270","HY1519",33.64,7
"271","HY1520",35.51,15
"272","HY1521",31.78,5
"273","HY1522",33.64,3
"274","HY1523",31.78,2
"275","HY1524",31.78,28
"276","HY1525",31.78,18
"277","HY1526",29.91,33
"278","HY1527",28.04,37
"279","HY1528",31.78,1
"280","HY1529",33.64,324
"281","HY1530",35.51,8
"282","HY1531",36.45,155
"283","HY1533",33.64,14
"284","HY1534",31.78,76
"285","HY1535",28.04,21
"286","HY1536",33.64,33
"287","HY1537",39.25,12
"288","HY1538",39.25,37
"289","HY1539",29.91,156
"290","HY1540",31.78,32
"291","HY1542",33.64,35
"292","HY1543",33.64,13
"293","HY1544",33.64,8
"294","HY1546",33.64,76
"295","HY1547",31.78,325
"296","HY1548",28.04,19
"297","HY1549",29.91,303
"298","HY1550",28.04,55
"299","HY1551",33.64,25
"300","HY1552",33.64,20
"301","HY1555",33.64,192
"302","HY1556",28.04,289
"303","HY1557",29.91,27
"304","HY1558",42.06,173
"305","HY1559",35.51,31
"306","HY1560",27.1,19
"307","HY1561",35.51,104
"308","HY1562",29.91,10
"309","HY1563",35.51,20
"310","HY1564",31.78,2
"311","HY1565",39.25,23
"312","HY1566",31.78,99
"313","HY1569",35.51,19
"314","HY1570",35.51,9
"315","HY1571",39.25,143
"316","HY1574",29.91,81
"317","HY1575",35.51,89
"318","HY1576",33.64,14
"319","HY1577",29.91,131
"320","HY1578",29.91,60
"321","HY1579",29.91,1
"322","HY1580",31.78,48
"323","HY1581",29.91,366
"324","HY1582",28.04,263
"325","HY1583",35.51,295
"326","HY1584",27.1,325
"327","HY1586",29.91,47
"328","HY1587",33.64,74
"329","HY1588",31.78,132
"330","HY1590",31.78,113
"331","HY1591",29.91,63
"332","HY1592",27.1,4
"333","HY1593",39.25,9
"334","HY1594",35.51,372
"335","HY1595",35.51,445
"336","HY1596",35.51,107
"337","HY1598",33.64,140
"338","HY1599",64.49,118
"339","HY1600",36.45,576
"340","HY1601",35.51,543
"341","HY1602",39.25,100
"342","HY1604",33.64,92
"343","HY1605",33.64,107
"344","HY1606",36.45,161
"345","HY1608",31.78,148
"346","HY1609",45.79,132
"347","HY1610",31.78,70
"348","HY1611",55.14,123
"349","HY1612",39.25,235
"350","HY1613",33.64,415
"351","HY1614",64.49,58
"352","HY1615",29.91,443
"353","HY1616",33.64,117
"354","HY1617",33.64,26
"355","HY1618",27.1,166
"356","HY1620",29.91,104
"357","HY1621",39.25,61
"358","HY1623",33.64,171
"359","HY1624",33.64,61
"360","HY1626",39.25,109
"361","HY1627",33.64,24
"362","HY1629",31.78,94
"363","HY1630",29.91,120
"364","HY1632",39.25,109
"365","HY1633",31.78,131
"366","HY1636",35.51,120
"367","HY1640",64.49,92
"368","HY1641",42.06,209
"369","HY1643",31.78,56
"370","HY1646",29.91,108
"371","HY1647",33.64,119
"372","HY1648",35.51,178
"373","HY1655",31.78,138
"374","HY1656",35.51,78
"375","HY1660",39.25,178
"376","HY1675",35.51,77
"377","HY1684",36.45,155
"378","HY1685",39.25,106
"379","HY1735",29.91,80
"380","ML0001",42.06,32
"381","ML0002",39.25,40
"382","ML0003",33.64,43
"383","ML0004",42.06,58
"384","ML0005",55.14,34
"385","ML0006",42.06,39
"386","ML0007",45.79,27
"387","ML0008",35.51,196
