"","X","DESIGN","Average.Price","V1","DesignCode"
"1",1,"HY0042",44.86,35,"DCV"
"2",2,"HY0217",29.91,3,NA
"3",3,"HY0340",29.91,1,NA
"4",4,"HY0381",33.64,122,"DTB"
"5",5,"HY0402",33.64,67,"DTG"
"6",6,"HY0451",28.66,3,"DPE"
"7",7,"HY0451",27.88,12,"DPE"
"8",8,"HY0451",27.1,37,"DPE"
"9",9,"HY0470",27.1,3,NA
"10",10,"HY0483",31.78,1,NA
"11",11,"HY0495",33.64,99,"DTB"
"12",12,"HY0506",25.23,4,"DPE"
"13",13,"HY0517",33.64,116,"DSK"
"14",14,"HY0527",22.43,1,NA
"15",15,"HY0640",31.78,2,NA
"16",16,"HY0648",29.91,2,NA
"17",17,"HY0693",27.1,2,NA
"18",18,"HY0705",22.43,4,NA
"19",19,"HY0811",33.64,1,NA
"20",20,"HY0836",29.91,1,NA
"21",21,"HY0865",64.49,1,NA
"22",22,"HY0920",31.78,2,NA
"23",23,"HY0933",31.78,1,NA
"24",24,"HY0943",33.64,57,"DSK"
"25",25,"HY0953",27.1,12,"DPE"
"26",26,"HY0957",35.51,236,"DPE"
"27",27,"HY0965",31.78,9,"DTB"
"28",28,"HY0983",31.78,1,NA
"29",29,"HY0986",33.64,15,"DSH"
"30",30,"HY0989",33.64,7,"DSK"
"31",31,"HY1002",36.45,5,"MAX"
"32",32,"HY1002",39.25,2,"MAX"
"33",33,"HY1002",42.06,5,"MAX"
"34",34,"HY1005",35.51,8,"DPE"
"35",35,"HY1024",33.64,10,"DSH"
"36",36,"HY1030",36.45,188,"DSK"
"37",37,"HY1033",31.78,2,NA
"38",38,"HY1034",28.97,3,"DST"
"39",39,"HY1034",31.31,6,"DST"
"40",40,"HY1034",33.64,9,"DST"
"41",41,"HY1034",31.78,5,"DST"
"42",42,"HY1054",33.64,69,"DSK"
"43",43,"HY1057",36.45,4,NA
"44",44,"HY1065",35.51,1,NA
"45",45,"HY1067",39.25,33,"DSK"
"46",46,"HY1069",33.64,4,NA
"47",47,"HY1070",42.06,6,NA
"48",48,"HY1071",33.64,2,"DSH"
"49",49,"HY1072",31.78,147,"DPE"
"50",50,"HY1073",39.25,7,NA
"51",51,"HY1074",31.78,1,"DSK"
"52",52,"HY1077",31.78,10,"DSK"
"53",53,"HY1079",45.79,146,"MSL"
"54",54,"HY1085",48.6,5,NA
"55",55,"HY1086",45.79,3,"DSK"
"56",56,"HY1088",31.78,1,NA
"57",57,"HY1089",28.97,6,"DSK"
"58",58,"HY1089",32.09,6,"DSK"
"59",59,"HY1089",30.53,6,"DSK"
"60",60,"HY1093",48.6,2,NA
"61",61,"HY1094",31.78,1,NA
"62",62,"HY1095",31.78,24,"DSL"
"63",63,"HY1099",28.97,12,"DPE"
"64",64,"HY1099",31.31,4,"DPE"
"65",65,"HY1101",42.06,3,"DST"
"66",66,"HY1104",36.45,141,NA
"67",67,"HY1107",31.78,6,NA
"68",68,"HY1108",31.78,9,NA
"69",69,"HY1109",33.64,7,"DPE"
"70",70,"HY1110",39.25,2,NA
"71",71,"HY1112",64.49,32,"DTG"
"72",72,"HY1113",39.25,56,"DTB"
"73",73,"HY1118",35.51,6,NA
"74",74,"HY1120",33.64,9,"DSK"
"75",75,"HY1127",39.25,6,NA
"76",76,"HY1132",33.64,2,NA
"77",77,"HY1133",33.64,2,NA
"78",78,"HY1138",42.06,1,"DTB"
"79",79,"HY1139",42.06,4,"DTB"
"80",80,"HY1140",29.91,13,NA
"81",81,"HY1141",35.51,1,"DPE"
"82",82,"HY1143",33.64,2,"DSK"
"83",83,"HY1154",39.25,1,NA
"84",84,"HY1160",33.64,3,NA
"85",85,"HY1163",31.78,5,NA
"86",86,"HY1165",33.64,7,NA
"87",87,"HY1166",27.1,35,"MSL"
"88",88,"HY1171",33.64,1,"DPE"
"89",89,"HY1175",33.64,4,NA
"90",90,"HY1179",33.64,2,"DPE"
"91",91,"HY1184",33.64,3,NA
"92",92,"HY1186",35.51,7,"DSH"
"93",93,"HY1189",31.78,9,NA
"94",94,"HY1194",37.38,90,"DSK"
"95",95,"HY1195",39.25,71,"DSK"
"96",96,"HY1199",48.6,114,"DSK"
"97",97,"HY1207",45.79,11,"DPE"
"98",98,"HY1209",42.06,3,"DSK"
"99",99,"HY1216",35.51,1,NA
"100",100,"HY1220",31.78,13,NA
"101",101,"HY1221",31.78,2,NA
"102",102,"HY1222",39.25,2,NA
"103",103,"HY1229",45.79,9,"DSK"
"104",104,"HY1230",64.49,1,"DSK"
"105",105,"HY1232",73.83,2,"DSK"
"106",106,"HY1235",42.06,1,NA
"107",107,"HY1236",44.86,41,"DTB"
"108",108,"HY1238",31.78,12,"DTB"
"109",109,"HY1239",36.45,6,"MLS"
"110",110,"HY1242",31.78,20,"DST"
"111",111,"HY1259",33.64,30,"DPE"
"112",112,"HY1263",35.51,91,"DPE"
"113",113,"HY1267",35.51,257,"DSK"
"114",114,"HY1269",35.51,310,NA
"115",115,"HY1274",33.64,22,NA
"116",116,"HY1277",42.06,172,"DSK"
"117",117,"HY1309",33.64,833,NA
"118",118,"HY1310",33.64,794,NA
"119",119,"HY1312",35.51,295,"DSK"
"120",120,"HY1316",31.78,121,"DSH"
"121",121,"HY1325",33.64,498,"DSK"
