"","X","DESIGN","Average.Price","V1","DesignCode"
"83",83,"HY1110",39.25,16,"DSK"
"84",84,"HY1112",64.49,42,"DTG"
"85",85,"HY1113",39.25,18,"DTB"
"86",86,"HY1116",36.45,2,NA
"87",87,"HY1118",35.51,22,"DSK"
"88",88,"HY1120",33.64,23,"DSK"
"89",89,"HY1127",39.25,12,"DSK"
"90",90,"HY1132",33.64,8,"DTB"
"91",91,"HY1133",33.64,7,"DTB"
"92",92,"HY1137",39.25,183,NA
"93",93,"HY1138",42.06,3,"DTB"
"94",94,"HY1139",42.06,7,"DTB"
"95",95,"HY1140",29.91,23,"DST"
"96",96,"HY1141",35.51,12,"DPE"
"97",97,"HY1143",33.64,10,"DSK"
"98",98,"HY1146",31.78,1,NA
"99",99,"HY1154",39.25,1,"DST"
"100",100,"HY1159",31.78,4,NA
"101",101,"HY1160",33.64,14,"DSK"
"102",102,"HY1161",31.78,1,NA
"103",103,"HY1163",31.78,25,"DPE"
"104",104,"HY1165",33.64,22,"DTB"
"105",105,"HY1166",27.1,85,"MSL"
"106",106,"HY1171",33.64,8,"DPE"
"107",107,"HY1175",33.64,653,"DSH"
"108",108,"HY1179",33.64,8,"DPE"
"109",109,"HY1182",45.79,6,NA
"110",110,"HY1183",31.78,4,NA
"111",111,"HY1184",33.64,25,"DTB"
"112",112,"HY1186",35.51,166,"DSH"
"113",113,"HY1187",33.64,239,NA
"114",114,"HY1188",33.64,11,NA
"115",115,"HY1189",31.78,11,"DPE"
"116",116,"HY1199",48.6,242,"DSK"
"117",117,"HY1201",31.78,1,NA
"118",118,"HY1206",33.64,1,NA
"119",119,"HY1207",45.79,55,"DPE"
"120",120,"HY1209",42.06,9,"DSK"
"121",121,"HY1216",35.51,4,"DSK"
"122",122,"HY1220",31.78,8,"DPE"
"123",123,"HY1221",31.78,9,"DSK"
"124",124,"HY1222",39.25,9,"DSK"
"125",125,"HY1226",33.64,3,NA
"126",126,"HY1229",45.79,4,"DSK"
"127",127,"HY1230",64.49,1,"DSK"
"128",128,"HY1232",73.83,2,"DSK"
"129",129,"HY1235",42.06,26,"DST"
"130",130,"HY1236",44.86,60,"DTB"
"131",131,"HY1238",31.78,110,"DTB"
"132",132,"HY1239",36.45,24,"MLS"
"133",133,"HY1242",31.78,150,"DST"
"134",134,"HY1259",33.64,258,"DPE"
"135",135,"HY1274",33.64,969,"DSK"
"136",136,"HY1277",42.06,223,"DSK"
