"","X","DESIGN","Average.Price","V1","DesignCode"
"1",1,"HY0042",44.86,40,"DCV"
"2",2,"HY0151",36.45,5,NA
"3",3,"HY0152",29.91,2,NA
"4",4,"HY0217",29.91,13,"DPE"
"5",5,"HY0340",29.91,3,"DTB"
"6",6,"HY0381",33.64,108,"DTB"
"7",7,"HY0402",33.64,73,"DTG"
"8",8,"HY0402",31.78,2,"DTG"
"9",9,"HY0406",21.5,6,NA
"10",10,"HY0406",20.56,2,NA
"11",11,"HY0406",21.23,7,NA
"12",12,"HY0415",31.78,1,NA
"13",13,"HY0424",22.43,5,NA
"14",14,"HY0451",31.78,21,"DPE"
"15",15,"HY0470",27.1,3,"DTB"
"16",16,"HY0470",27.88,6,"DTB"
"17",17,"HY0483",31.78,7,"DTB"
"18",18,"HY0495",33.64,175,"DTB"
"19",19,"HY0495",32.4,3,"DTB"
"20",20,"HY0506",29.91,1,"DPE"
"21",21,"HY0517",33.64,128,"DSK"
"22",22,"HY0527",22.43,7,"DTB"
"23",23,"HY0640",31.78,25,"DSK"
"24",24,"HY0648",29.91,1,"DST"
"25",25,"HY0694",22.43,1,NA
"26",26,"HY0701",25.23,1,NA
"27",27,"HY0705",22.43,3,"DSK"
"28",28,"HY0716",22.43,2,NA
"29",29,"HY0741",22.43,3,NA
"30",30,"HY0748",28.04,1,NA
"31",31,"HY0751",31.78,2,NA
"32",32,"HY0792",31.78,2,NA
"33",33,"HY0818",25.23,1,NA
"34",34,"HY0818",23.36,1,NA
"35",35,"HY0836",29.91,2,"DSH"
"36",36,"HY0865",64.49,100,"MSL"
"37",37,"HY0871",31.78,3,NA
"38",38,"HY0894",39.25,6,NA
"39",39,"HY0918",33.64,2,NA
"40",40,"HY0920",31.78,4,"DSK"
"41",41,"HY0931",31.78,4,NA
"42",42,"HY0933",31.78,10,"DPE"
"43",43,"HY0943",33.64,132,"DSK"
"44",44,"HY0951",35.51,4,NA
"45",45,"HY0953",27.1,3,"DPE"
"46",46,"HY0953",31.78,1,"DPE"
"47",47,"HY0954",31.78,4,NA
"48",48,"HY0965",31.78,7,"DTB"
"49",49,"HY0972",36.45,7,NA
"50",50,"HY0980",33.64,3,NA
"51",51,"HY0983",31.78,1,"DSK"
"52",52,"HY0984",35.51,276,NA
"53",53,"HY0986",33.64,108,"DSH"
"54",54,"HY0989",33.64,3,"DSK"
"55",55,"HY1002",42.06,5,"MAX"
"56",56,"HY1005",35.51,110,"DPE"
"57",57,"HY1017",33.64,1,NA
"58",58,"HY1024",33.64,294,"DSH"
"59",59,"HY1033",31.78,4,"DPE"
"60",60,"HY1034",33.64,17,"DST"
"61",61,"HY1047",42.06,1,NA
"62",62,"HY1057",36.45,12,"DST"
"63",63,"HY1065",35.51,3,"DSH"
"64",64,"HY1067",39.25,203,"DSK"
"65",65,"HY1069",33.64,5,"DSK"
"66",66,"HY1070",42.06,10,"DST"
"67",67,"HY1071",33.64,9,"DSH"
"68",68,"HY1073",39.25,9,"DSK"
"69",69,"HY1074",31.78,9,"DSK"
"70",70,"HY1077",31.78,5,"DSK"
"71",71,"HY1085",48.6,21,"DPE"
"72",72,"HY1086",45.79,4,"DSK"
"73",73,"HY1088",31.78,5,"DSH"
"74",74,"HY1089",33.64,9,"DSK"
"75",75,"HY1093",48.6,6,"DPE"
"76",76,"HY1094",31.78,5,"DSH"
"77",77,"HY1095",31.78,187,"DSL"
"78",78,"HY1099",33.64,9,"DPE"
"79",79,"HY1101",42.06,21,"DST"
"80",80,"HY1107",31.78,17,"DPE"
"81",81,"HY1108",31.78,20,"DPE"
"82",82,"HY1109",33.64,11,"DPE"
