"","DESIGN","Average.Price","V1","DesignCode"
"171","HY1375",44.86,166,"DSK"
"172","HY1376",33.64,235,"DPE"
"173","HY1381",33.64,23,"DSK"
"174","HY1382",33.64,2,NA
"175","HY1385",35.51,1,"DSK"
"176","HY1388",33.64,7,NA
"177","HY1392",35.51,6,"DST"
"178","HY1405",35.51,18,"DPE"
"179","HY1410",33.64,1,NA
"180","HY1415",35.51,12,NA
"181","HY1420",36.45,19,"DSK"
"182","HY1422",42.06,62,"DSK"
"183","HY1429",33.64,105,NA
"184","HY1430",35.51,1,NA
"185","HY1431",35.51,157,"DPE"
"186","HY1442",37.38,32,"DSK"
"187","HY1446",35.51,60,"DSK"
"188","HY1458",45.79,198,"DSK"
"189","HY1459",33.64,62,"DST"
"190","HY1460",33.64,241,"DSK"
"191","HY1497",31.78,131,"DST"
"192","HY1501",31.78,235,"MAX"
"193","HY1502",33.64,128,"DPE"
"194","HY1508",33.64,256,"DSK"
"195","HY1510",31.78,506,"DSK"
"196","HY1518",42.06,500,NA
"197","HY1522",33.64,198,"DSK"
"198","HY1528",31.78,132,"DPE"
"199","HY1543",33.64,115,"DSK"
"200","HY1544",33.64,43,"DSK"
"201","HY1559",35.51,92,"DSK"
