"","DESIGN","Average.Price","V1"
"1","HY0042",44.86,30
"2","HY0381",33.64,20
"3","HY0402",33.64,9
"4","HY0451",25.23,1
"5","HY0451",17.76,5
"6","HY0451",17.22,7
"7","HY0451",15.89,1
"8","HY0495",33.64,29
"9","HY0506",14.95,9
"10","HY0517",33.64,16
"11","HY0874",33.64,1
"12","HY0879",31.78,3
"13","HY0888",45.79,2
"14","HY0894",19.63,14
"15","HY0932",22.9,43
"16","HY0932",26.29,4
"17","HY0932",27.41,12
"18","HY0932",23.87,14
"19","HY0932",24.83,7
"20","HY0943",33.64,6
"21","HY0951",17.76,3
"22","HY0953",15.89,4
"23","HY0955",33.64,2
"24","HY0956",33.64,1
"25","HY0957",35.51,4
"26","HY0959",39.25,2
"27","HY0965",27.1,4
"28","HY0965",18.69,8
"29","HY0965",17.49,14
"30","HY0965",23.36,3
"31","HY0965",15.89,1
"32","HY0979",31.78,3
"33","HY0980",33.64,4
"34","HY0984",35.51,1
"35","HY0986",33.64,1
"36","HY0999",35.51,1
"37","HY1002",21.5,2
"38","HY1003",31.78,1
"39","HY1011",35.51,1
"40","HY1014",15.89,13
"41","HY1014",17.22,7
"42","HY1017",33.64,3
"43","HY1018",31.78,3
"44","HY1024",33.64,4
"45","HY1034",16.82,41
"46","HY1034",17.7,35
"47","HY1034",23.68,3
"48","HY1034",20.25,3
"49","HY1034",19.39,4
"50","HY1047",42.06,6
"51","HY1050",33.64,4
"52","HY1066",39.25,4
"53","HY1067",19.63,43
"54","HY1067",26.17,6
"55","HY1067",21.14,13
"56","HY1067",21.81,9
"57","HY1067",32.71,3
"58","HY1067",22.43,7
"59","HY1069",33.64,11
"60","HY1071",28.97,1
"61","HY1071",16.82,1
"62","HY1072",31.78,6
"63","HY1074",23.36,6
"64","HY1077",27.1,7
"65","HY1077",25.23,6
"66","HY1079",45.79,8
"67","HY1086",33.96,9
"68","HY1088",31.78,19
"69","HY1089",16.82,1
"70","HY1090",31.78,5
"71","HY1093",24.3,93
"72","HY1093",27.29,10
"73","HY1093",24.69,38
"74","HY1095",31.78,5
"75","HY1096",33.64,24
"76","HY1099",16.82,1
"77","HY1101",42.06,4
"78","HY1104",36.45,2
"79","HY1107",15.89,118
"80","HY1108",15.89,99
"81","HY1108",17.22,7
"82","HY1108",16.65,37
"83","HY1109",33.64,8
"84","HY1110",39.25,3
"85","HY1112",64.49,5
"86","HY1113",39.25,8
"87","HY1120",33.64,6
"88","HY1124",44.86,1
"89","HY1132",16.82,123
"90","HY1133",16.82,47
"91","HY1133",17.58,27
"92","HY1133",17.85,10
"93","HY1133",18.24,29
"94","HY1133",17.07,42
"95","HY1133",18.88,5
"96","HY1134",33.64,6
"97","HY1137",39.25,2
"98","HY1138",21.5,42
"99","HY1138",23.93,5
"100","HY1138",24.43,7
"101","HY1143",33.64,7
"102","HY1146",31.78,3
"103","HY1147",33.64,9
"104","HY1148",31.78,5
"105","HY1156",31.78,3
"106","HY1159",31.78,3
"107","HY1161",15.89,157
"108","HY1166",14.64,12
"109","HY1166",14.95,28
"110","HY1166",17.51,15
"111","HY1166",14.02,65
"112","HY1166",14.77,35
"113","HY1166",15.2,19
"114","HY1166",22.74,3
"115","HY1166",14.85,9
"116","HY1166",15.89,14
"117","HY1166",16.07,10
"118","HY1166",14.35,39
"119","HY1171",33.64,1
"120","HY1175",33.64,16
"121","HY1176",29.91,6
"122","HY1178",33.64,4
"123","HY1184",16.82,96
"124","HY1186",35.51,2
"125","HY1187",33.64,2
"126","HY1188",33.64,1
"127","HY1199",48.6,13
"128","HY1206",33.64,5
"129","HY1207",45.79,11
