"","DESIGN","Average.Price","V1"
"130","HY1209",42.06,4
"131","HY1221",15.89,58
"132","HY1229",23.36,19
"133","HY1229",45.79,1
"134","HY1229",40.19,4
"135","HY1230",64.49,4
"136","HY1235",42.06,1
"137","HY1236",44.86,9
"138","HY1238",31.78,7
"139","HY1239",36.45,5
"140","HY1242",31.78,10
"141","HY1246",33.64,6
"142","HY1259",33.64,3
"143","HY1262",42.06,39
"144","HY1263",35.51,3
"145","HY1267",35.51,3
"146","HY1269",35.51,96
"147","HY1274",33.64,117
"148","HY1276",33.64,2
"149","HY1277",42.06,29
"150","HY1309",33.64,281
"151","HY1310",33.64,230
"152","HY1312",35.51,6
"153","HY1314",33.64,11
"154","HY1316",31.78,4
"155","HY1325",33.64,11
"156","HY1326",33.64,4
"157","HY1335",16.82,18
"158","HY1335",18.8,17
"159","HY1335",18.42,21
"160","HY1335",18.02,14
"161","HY1335",19.23,7
"162","HY1335",18.22,12
"163","HY1335",25.23,2
"164","HY1337",33.64,66
"165","HY1339",31.78,19
"166","HY1345",33.64,15
"167","HY1346",31.78,149
"168","HY1348",35.51,9
"169","HY1349",35.51,10
"170","HY1366",31.78,2
"171","HY1375",44.86,166
"172","HY1376",33.64,235
"173","HY1381",33.64,23
"174","HY1382",33.64,2
"175","HY1385",35.51,1
"176","HY1388",33.64,7
"177","HY1392",35.51,6
"178","HY1405",35.51,18
"179","HY1410",33.64,1
"180","HY1415",35.51,12
"181","HY1420",36.45,19
"182","HY1422",42.06,62
"183","HY1429",33.64,105
"184","HY1430",35.51,1
"185","HY1431",35.51,157
"186","HY1442",37.38,32
"187","HY1446",35.51,60
"188","HY1458",45.79,198
"189","HY1459",33.64,62
"190","HY1460",33.64,241
"191","HY1497",31.78,131
"192","HY1501",31.78,235
"193","HY1502",33.64,128
"194","HY1508",33.64,256
"195","HY1510",31.78,506
"196","HY1518",42.06,500
"197","HY1522",33.64,198
"198","HY1528",31.78,132
"199","HY1543",33.64,115
"200","HY1544",33.64,43
"201","HY1559",35.51,92
