"","DESIGN","Average.Price","V1"
"1","HY0042",44.86,28
"2","HY0381",33.64,31
"3","HY0402",33.64,14
"4","HY0451",27.1,12
"5","HY0495",33.64,26
"6","HY0506",25.23,3
"7","HY0517",33.64,21
"8","HY0943",33.64,16
"9","HY0953",27.1,4
"10","HY0957",35.51,57
"11","HY0965",31.78,12
"12","HY0986",33.64,4
"13","HY0989",33.64,1
"14","HY1002",36.45,3
"15","HY1004",33.64,58
"16","HY1005",35.51,5
"17","HY1024",33.64,4
"18","HY1030",36.45,2
"19","HY1034",28.97,29
"20","HY1039",34,60
"21","HY1047",42.06,2
"22","HY1054",33.64,5
"23","HY1067",39.25,8
"24","HY1071",33.64,6
"25","HY1072",31.78,14
"26","HY1074",31.78,1
"27","HY1077",31.78,4
"28","HY1079",45.79,23
"29","HY1086",45.79,1
"30","HY1089",28.97,6
"31","HY1095",31.78,13
"32","HY1096",33.64,126
"33","HY1099",28.97,6
"34","HY1101",42.06,2
"35","HY1109",33.64,5
"36","HY1112",64.49,6
"37","HY1113",39.25,8
"38","HY1119",33.64,91
"39","HY1120",33.64,4
"40","HY1124",44.86,1
"41","HY1137",39.25,1
"42","HY1138",42.06,3
"43","HY1139",42.06,2
"44","HY1141",35.51,97
"45","HY1143",33.64,1
"46","HY1166",27.1,41
"47","HY1171",33.64,2
"48","HY1178",33.64,64
"49","HY1179",33.64,3
"50","HY1186",35.51,2
"51","HY1194",37.38,20
"52","HY1195",39.25,23
"53","HY1199",48.6,32
"54","HY1207",45.79,17
"55","HY1209",42.06,9
"56","HY1211",33.64,141
"57","HY1229",45.79,1
"58","HY1230",64.49,2
"59","HY1232",73.83,1
"60","HY1236",44.86,11
"61","HY1238",31.78,16
"62","HY1239",36.45,6
"63","HY1242",31.78,4
"64","HY1246",33.64,253
"65","HY1259",33.64,1
"66","HY1262",42.06,148
"67","HY1263",35.51,16
"68","HY1267",35.51,15
"69","HY1276",33.64,86
"70","HY1277",42.06,52
"71","HY1311",33.64,332
"72","HY1312",35.51,42
"73","HY1314",33.64,543
"74","HY1316",31.78,5
"75","HY1325",33.64,66
"76","HY1326",33.64,328
"77","HY1335",33.64,158
"78","HY1337",33.64,143
"79","HY1339",31.78,86
"80","HY1345",33.64,232
"81","HY1348",35.51,159
"82","HY1349",35.51,503
"83","HY1364",33.64,375
"84","HY1366",31.78,190
"85","HY1368",33.64,192
"86","HY1381",33.64,107
"87","HY1382",33.64,250
"88","HY1383",31.78,175
"89","HY1385",35.51,159
"90","HY1392",35.51,122
"91","HY1395",35.51,38
"92","HY1405",35.51,255
